player_name,team_name,competition_name,player_season_padj_tackles_90,player_season_padj_interceptions_90,primary_position,player_season_pressure_regains_90,player_season_counterpressures_90,player_season_padj_pressures_90,player_season_defensive_action_regains_90,player_season_counterpressure_regains_90,player_season_fhalf_pressures_90,player_season_fhalf_counterpressures_90,player_season_obv_defensive_action_90,player_season_fhalf_ball_recoveries_90,position_category
Lucas Ribeiro Costa,Mamelodi Sundowns FC,PSL,1.0,0.0,Centre Forward,0.40838117496151016,0.5837383381002879,0.6006012827095357,0.4071817992072544,0.4473940051021099,0.3072416956783768,0.6560145285893071,0.4287475745968471,0.42307663493497416,F
Zakhele Lerato Lepasa,Orlando Pirates FC,PSL,0.15947651517541767,0.2239989916778089,Centre Forward,0.29163099181624696,0.45116193338468574,0.4704049762012963,0.25372169107672427,0.39617704418634997,0.30650357977926923,0.44845720865539807,0.2908354064124925,0.11130370103411141,F
Gabadinho Hellings Frank Mhango,Swallows FC,PSL,0.1352127358329312,0.26704891764689753,Left Centre Forward,0.30203955266104887,0.3490564166803533,0.29077541528765327,0.2807658523068171,0.4946379131255647,0.20035762585145303,0.441954078068747,0.3759444094960426,0.3887814363247969,F
Mxolisi Macuphu,Royal AM FC,PSL,0.21379462297590607,0.20677049487192845,Centre Forward,0.0,0.3144581712682621,0.09193622410046307,0.0,0.0,0.0,0.3385770964684437,0.3432692732057568,0.0,F
Augustine Chidi Kwem,AmaZulu FC,PSL,0.352900483690781,0.0,Centre Forward,0.27800771532650226,0.3469861342745537,0.46131361827397654,0.26423913550040995,0.1780571521826324,0.4239560444112158,0.4068036139319906,1.0,0.4515912747900542,F
Peter Shalulile,Mamelodi Sundowns FC,PSL,0.067000507871258,0.6974312717133805,Centre Forward,0.392287673218482,0.38913237341345713,0.4789120987340739,0.4582428512390678,0.303200618575339,0.2123474115203239,0.48907183220143846,0.3522388015096599,0.1865323315570254,F
Ryan Moon,Lamontville Golden Arrows FC,PSL,0.0762242587864792,0.20456226882600403,Centre Forward,0.08833851848493957,0.1732588640260303,0.0,0.0969794775269579,0.14958621271998324,0.13628494090309426,0.19652732980016224,0.3937877388381954,0.3707339038793265,F
Kagiso Joseph Malinga,Swallows FC,PSL,0.5924718158458073,0.41176334446508345,Left Centre Forward,0.44201856580889204,0.4263922235928255,0.4029385192776721,0.4332425042497261,0.2903518918564893,0.3075105156663235,0.4321578052192747,0.41688268880903645,0.3747098830383361,F
Evidence Makgopa,Orlando Pirates FC,PSL,0.7248351284697354,0.6446914727968686,Centre Forward,0.6308509636882687,1.0,1.0,0.71207988571055,0.7227638485259039,0.8784448204518578,1.0,0.4152366622603615,0.47739471644298115,F
Bradley Grobler,SuperSport United FC,PSL,0.0,0.1214977647613309,Centre Forward,0.1710988100175002,0.21319404554268256,0.09085970478956587,0.16545055522244156,0.1943737411845707,0.008221666725345828,0.3015708752573585,0.3502818288161997,0.4402799381851177,F
Iqraam Rayners,Stellenbosch FC,PSL,0.03440273925086901,0.05595777828597881,Centre Forward,0.18125322288092954,0.2328577412549029,0.1340810526856741,0.14671832149989972,0.1907932654964544,0.29324201461734556,0.2583617744664899,0.2860448147792787,0.42485516726216527,F
Ashley Du Preez,Kaizer Chiefs FC,PSL,0.4322636507663728,0.8314038650367949,Right Wing,0.19851901100998248,0.0,0.27110160277365103,0.19099192347984156,0.4643773163421781,0.0038740729541824614,0.0,0.41799573963612313,0.45421043930877214,W
Tshegofatso Mabasa,Swallows FC,PSL,0.2599589237081466,0.2595425054471916,Right Centre Forward,0.37210156741004896,0.3802798363767934,0.3086680317974345,0.3788970711504184,0.3061584187248407,0.3679466336406054,0.4351084573410884,0.2605457606992303,0.25770488136734176,F
Justice Figuaredo,Richards Bay FC,PSL,0.4524297251727287,0.10298946107423967,Centre Forward,0.665260111045632,0.33725887623665535,0.3794444702345032,0.5617568057210625,0.0,0.7916729591530305,0.32320530438024236,0.3936348196617745,0.660531178729711,F
Elmo Kambindu,Chippa United FC,PSL,0.1035886458421228,0.47141338832817203,Centre Forward,0.4449683882041579,0.4205579121808106,0.6031686269785095,0.42454518348514286,0.0,0.7515966623244025,0.5073114012786284,0.13452141039639443,0.015625434121148307,F
Khanyisa Mayo,Cape Town City FC,PSL,0.03821321182363646,0.577930434131988,Centre Forward,0.19450153427880504,0.1318656757315259,0.11791696094503613,0.17528993169331436,0.1104453737027537,0.042334964616413756,0.20830261528315502,0.3584734710788687,0.29130652803102897,F
Douglas Mapfumo,Polokwane City,PSL,0.009857598660595213,0.045422279416830635,Centre Forward,0.3444270617343646,0.3840823039323009,0.16867638932900186,0.33490694723817355,0.4630873231568994,0.5949322668897857,0.46969573302265033,0.2555562792994853,0.2183891088877053,F
Chibuike Ohizu,Sekhukhune United,PSL,0.03356121122124334,0.2805141736553445,Centre Forward,0.4251089833241271,0.5404730616271285,0.2691633634259328,0.38105978331089213,0.717395428669787,0.39124077614005137,0.578846813553372,0.33103590100922486,0.4483541450184922,F
Sede Junior Dion,AmaZulu FC,PSL,0.04679558837261788,0.0,Centre Forward,0.20694142093861037,0.29277384553887403,0.17340806723038732,0.15504123230152173,0.41264287775017855,0.4109859149095684,0.33644399696054816,0.335129333400074,0.28372488745595287,F
Lungelo Nguse,Lamontville Golden Arrows FC,PSL,0.13218405697028446,0.04636854301311932,Centre Forward,0.24356489946178517,0.4625030913336271,0.24725480783189058,0.3763198148667988,0.22845979720385332,0.6267978320434254,0.4795130325038037,0.0,0.4824202516969921,F
Joaquim Cristóvão Paciência,Cape Town City FC,PSL,0.25496431694477517,0.1736320661125903,Centre Forward,0.5337803588807682,0.2421371310093952,0.2899908972306187,0.49199724093634684,0.4487678291025949,0.34234925473903943,0.31211388395460066,0.15094341717526383,0.17879038864708205,F
Ronaldo Claudio Maarman,Chippa United FC,PSL,0.5727924248644863,1.0,Centre Forward,0.6019345064703864,0.9330786310468886,0.6210594192082253,0.5243750891217205,0.9441286764447183,0.9222092115373066,0.9152615823341907,0.43234368958466585,0.5424786551313816,F
Yanela Xolisani Mbuthuma,Richards Bay FC,PSL,0.14835103659112409,0.6420515143694746,Centre Forward,0.558172431335217,0.30892347703030865,0.30701139142575956,0.5172529307058334,0.6440549540425804,0.6920999645853483,0.3147802002548521,0.7476405942747764,0.3998739510640782,F
Etiosa Godspower Ighodaro,SuperSport United FC,PSL,0.11997705917577317,0.5468686902296797,Centre Forward,0.34590753584694256,0.5544142520588244,0.4550823433444131,0.39788318070629425,0.5443584500108527,0.4673762713549313,0.6065578462967165,0.36574091388071256,1.0,F
Ranga Piniel Chivaviro,Kaizer Chiefs FC,PSL,0.2994030717790866,0.2792322815695667,Centre Forward,0.3879638220247779,0.1411280370633172,0.2969714078644637,0.401157706900341,0.4510670262212506,0.2924001814224263,0.19890538375868122,0.22600359252505337,0.38846519767346793,F
Therlo Moosa,Cape Town Spurs,PSL,0.23068945845150496,0.18785904231798,Centre Forward,0.5815984146252056,0.4107117874459116,0.40810037794425225,0.5700511110598725,0.24044243454971695,0.5927155167950361,0.43603723038136855,0.6921000255644039,0.22000433724237517,F
Hlayisi Chauke,Polokwane City,PSL,0.3576039630425351,0.0,Centre Forward,0.27845232318856883,0.6102943709662234,0.24506567175348412,0.35385008277529484,0.24954876152318498,0.8092637273196077,0.6340024797485077,0.4047743258996093,0.014638837996108767,F
Lehlohonolo Bradley Mojela,TS Galaxy FC,PSL,0.6167650166350837,0.7270176970473033,Centre Forward,1.0,0.6119563865545816,0.7798595444081782,1.0,1.0,1.0,0.7398732198661941,0.41560526895038924,0.5457027116546497,F
Ashley Cupido,Cape Town Spurs,PSL,0.4887226167294255,0.48782971752153015,Left Centre Forward,0.49555809636379,0.3021103012757839,0.38544060710798517,0.5418487200945495,0.346169303875406,0.2233696937564589,0.3583030509177893,0.5583617066140932,0.33270092218246955,F
